iter	RMSE
0	16.88910249
1	16.63501474
2	16.3771583
3	16.17147019
4	15.95765014
5	15.74398057
6	15.51985777
7	15.315775
8	15.14502321
9	14.95761039
10	14.77457149
11	14.63059107
12	14.47501792
13	14.32890021
14	14.16485522
15	14.01950752
16	13.87895842
17	13.72469771
18	13.60230828
19	13.4687873
20	13.33986841
21	13.2497757
22	13.13118324
23	13.01457492
24	12.92037812
25	12.83037045
26	12.71595493
27	12.64344598
28	12.55667185
29	12.46678945
30	12.40012364
31	12.32928908
32	12.25692918
33	12.1864982
34	12.12297237
35	12.06312677
36	12.00354034
37	11.95220141
38	11.89588507
39	11.83247876
40	11.77899375
41	11.72579137
42	11.68071322
43	11.62633125
44	11.58128074
45	11.52957868
46	11.49951326
47	11.47276209
48	11.43019257
49	11.40510819
50	11.37149427
51	11.33926243
52	11.30546415
53	11.27621749
54	11.23959563
55	11.21701789
56	11.17766113
57	11.14465986
58	11.10783965
59	11.07725242
60	11.05685393
61	11.03847907
62	11.01355914
63	10.98989393
64	10.9645574
65	10.93823434
66	10.91426736
67	10.9011244
68	10.88131125
69	10.85693971
70	10.82912769
71	10.80731472
72	10.78971423
73	10.77904152
74	10.76880066
75	10.74617381
76	10.7283091
77	10.70486077
78	10.69570531
79	10.67305357
80	10.65666088
81	10.64395759
82	10.63451322
83	10.62222883
84	10.60136157
85	10.58804653
86	10.56661749
87	10.5519022
88	10.53686257
89	10.52305447
90	10.51013144
91	10.4961334
92	10.48832161
93	10.4778536
94	10.46772292
95	10.45485602
96	10.44540612
97	10.43963029
98	10.43004936
99	10.4202546
100	10.41064771
101	10.39974879
102	10.3905556
103	10.37623243
104	10.36649159
105	10.35548536
106	10.3380843
107	10.33102378
108	10.32516642
109	10.31555846
110	10.30337025
111	10.29401417
112	10.2851598
113	10.27407028
114	10.26963031
115	10.26701459
116	10.26242695
117	10.25537881
118	10.24528477
119	10.23670635
120	10.23142271
121	10.22769278
122	10.21700701
123	10.21149349
124	10.20437335
125	10.19784344
126	10.19094724
127	10.18437892
128	10.1738515
129	10.16848678
130	10.16350575
131	10.15964742
132	10.15496364
133	10.14921549
134	10.14131427
135	10.13332387
136	10.12997232
137	10.12265615
138	10.11928797
139	10.11043872
140	10.10437926
141	10.09739675
142	10.09134661
143	10.08624944
144	10.08091068
145	10.077779
146	10.07231504
147	10.06827697
148	10.06259306
149	10.05484325
150	10.04988765
151	10.03909031
152	10.03335366
153	10.02392983
154	10.01705115
155	10.00711079
156	10.00213395
157	9.998399703
158	9.993568317
159	9.987022845
160	9.982459499
161	9.975550103
162	9.969743475
163	9.967164088
164	9.96073946
165	9.952620181
166	9.946322736
167	9.94218831
168	9.938738883
169	9.935925706
170	9.928192645
171	9.923191903
172	9.917723988
173	9.913515107
174	9.909049634
175	9.90118261
176	9.894323568
177	9.891180893
178	9.883697922
179	9.87800806
180	9.873885457
181	9.868068896
182	9.864093787
183	9.85897086
184	9.853007813
185	9.848924708
186	9.845814004
187	9.839871085
188	9.835678128
189	9.831130315
190	9.825716419
191	9.818940373
192	9.81365375
193	9.807810751
194	9.804591064
195	9.799969117
196	9.794783068
197	9.78973546
198	9.785265725
199	9.781191212
200	9.774209275
201	9.77003261
202	9.766268458
203	9.762097107
204	9.759108929
205	9.756289665
206	9.752651325
207	9.749143232
208	9.744630142
209	9.741595041
210	9.738098903
211	9.734573002
212	9.730628309
213	9.727269321
214	9.724711304
215	9.722264062
216	9.718158483
217	9.714073808
218	9.711160745
219	9.707326662
220	9.703340822
221	9.698646087
222	9.694507301
223	9.688411543
224	9.684551879
225	9.680663811
226	9.677836737
227	9.672444649
228	9.669551645
229	9.665834274
230	9.659636474
231	9.656809014
232	9.654258246
233	9.652036371
234	9.649375007
235	9.645566271
236	9.641663835
237	9.637998457
238	9.635168365
239	9.630095702
240	9.626239509
241	9.623243297
242	9.621036221
243	9.617575295
244	9.616356399
245	9.611996099
246	9.610756434
247	9.608065281
248	9.604909951
249	9.601996416
250	9.598604626
251	9.596662597
252	9.592390029
253	9.58980577
254	9.586975774
255	9.584638065
256	9.58243337
257	9.579351062
258	9.57386659
259	9.57055441
260	9.567671618
261	9.566128241
262	9.562992199
263	9.559363506
264	9.557189823
265	9.5539671
266	9.550289187
267	9.546116357
268	9.542485515
269	9.539962458
270	9.538354445
271	9.535925257
272	9.533313602
273	9.531165181
274	9.527379374
275	9.523451737
276	9.520096806
277	9.517216301
278	9.514278686
279	9.511750657
280	9.50952362
281	9.507435262
282	9.504981762
283	9.502110192
284	9.499331405
285	9.49592852
286	9.493466104
287	9.491789927
288	9.4895271
289	9.48529673
290	9.484501571
291	9.481452207
292	9.47870744
293	9.476768494
294	9.473316991
295	9.470818578
296	9.468967369
297	9.466374895
298	9.463029208
299	9.459950226
300	9.457937492
301	9.456087529
302	9.454782534
303	9.453158718
304	9.450988647
305	9.449176678
306	9.445459938
